time,rmin_ias15,rmin_noNN,rmin_v4,pair_ias15,pair_noNN,pair_v4,err_noNN,err_v4
2.666533306661332503e+01,9.597018531916882145e-01,9.597251501606982593e-01,9.597251501606982593e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.069047309832703491e-02,2.069047309832703491e-02
2.668533706741348510e+01,9.566773851230081505e-01,9.534405799956139349e-01,9.534405799956139349e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.657205404540226801e-02,1.657205404540226801e-02
2.670534106821364517e+01,9.535040308215867455e-01,9.534405799956139349e-01,9.534405799956139349e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.056428595799167716e-02,2.056428595799167716e-02
2.672534506901380524e+01,9.501818064545244358e-01,9.465613512164480214e-01,9.465613512164480214e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.645723573263700376e-02,1.645723573263700376e-02
2.674534906981396531e+01,9.467107403066922222e-01,9.465613512164480214e-01,9.465613512164480214e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.042274331966529785e-02,2.042274331966529785e-02
2.676535307061412539e+01,9.430908746770693130e-01,9.390877113545079702e-01,9.390877113545079702e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.633359167275034302e-02,1.633359167275034302e-02
2.678535707141428546e+01,9.393222679470232261e-01,9.390877113545079702e-01,9.390877113545079702e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.026582083332707437e-02,2.026582083332707437e-02
2.680536107221444553e+01,9.354049968352499134e-01,9.310201720978084072e-01,9.310201720978084072e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.620165714567269391e-02,1.620165714567269391e-02
2.682536507301460560e+01,9.313391588555244294e-01,9.310201720978084072e-01,9.310201720978084072e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.009349227758537929e-02,2.009349227758537929e-02
2.684536907381476567e+01,9.271248749949831947e-01,9.223595860623524656e-01,9.223595860623524656e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.606206398351000403e-02,1.606206398351000403e-02
2.686537307461492574e+01,9.227622926323771901e-01,9.223595860623524656e-01,9.223595860623524656e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.990573075291013350e-02,1.990573075291013350e-02
2.688537707541508581e+01,9.182515887176172509e-01,9.131072380140305977e-01,9.131072380140305977e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.591555340391763787e-02,1.591555340391763787e-02
2.690538107621524588e+01,9.135929732359958644e-01,9.131072380140305977e-01,9.131072380140305977e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.970251011034024682e-02,1.970251011034024682e-02
2.692538507701540595e+01,9.087866929827216333e-01,9.032649532273187010e-01,9.032649532273187010e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.576299064722577054e-02,1.576299064722577054e-02
